参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P2-35,0x2223,位置控制误差过大警告条件,DRV's Parameter  P2-35,UDINT,32,rw,RT,| pulse |,| 1 ~ 1677721600 |,| 50331648 |,| PT / PR |,P2,—,| 在位置模式下，此参数用来设定位置命令与位置回授之间的容许误差，若误差大于此设定值，驱动器即显示异警AL009。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-36,0x2224,数字输入接脚DI9功能规划,DRV's Parameter  P2-36,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,| 0x0100 |,| All |,P2,—,| 请参考P2.010的说明。若硬件规格无DI9，可将DI9作为虚拟数字输入，用于通讯触发或使用于DI点数不够的应用。用户可将一上电即需使用的DI，如Servo On等，直接设为B接点在虚拟数字输入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-37,0x2225,数字输入接脚DI10功能规划,DRV's Parameter  P2-37,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,| 0x0100 |,| All |,P2,—,| 请参考P2.010的说明。若硬件规格无DI10，可将DI10作为虚拟数字输入，用于通讯触发或使用于DI点数不够的应用。用户可将一上电即需使用的DI，如Servo On等，直接设为B接点在虚拟数字输入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-38,0x2226,数字输入接脚DI11功能规划,DRV's Parameter  P2-38,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,| 0x0100 |,| All |,P2,—,| 请参考P2.010的说明。若硬件规格无DI11，可将DI11作为虚拟数字输入，用于通讯触发或使用于DI点数不够的应用。用户可将一上电即需使用的DI，如Servo On等，直接设为B接点在虚拟数字输入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-39,0x2227,数字输入接脚DI12功能规划,DRV's Parameter  P2-39,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,| 0x0100 |,| All |,P2,—,| 请参考P2.010的说明。若硬件规格无DI12，可将DI12作为虚拟数字输入，用于通讯触发或使用于DI点数不够的应用。用户可将一上电即需使用的DI，如Servo On等，直接设为B接点在虚拟数字输入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-40,0x2228,数字输入接脚DI13功能规划,DRV's Parameter  P2-40,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x015F | (后两码为DI码) |,| 0x0100 |,| All |,P2,—,| 请参考P2.010的说明。若硬件规格无DI13，可将DI13作为虚拟数字输入，用于通讯触发或使用于DI点数不够的应用。用户可将一上电即需使用的DI，如Servo On等，直接设为B接点在虚拟数字输入。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-41,0x2229,数字输出接脚DO6功能规划,DRV's Parameter  P2-41,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x014F | (后两码为DO码) |,| 0x0100 |,| All |,P2,—,| 请参考P2.018的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-42,0x222A,保留,DRV's Parameter  P2-42,UINT,16,ro,T,,,,,P2,—,
P2-43,0x222B,共振抑制Notch filter 2 - 频率,DRV's Parameter  P2-43,UINT,16,rw,RT,| Hz |,| 50 ~ 5000 |,| 1000 |,| All |,P2,—,| 第二组机械共振频率设定值，若P2.044设为0，表示关闭Notch filter 2功能。P2.043、P2.044、P2.096为第二组共振抑制Notch filter。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-44,0x222C,共振抑制Notch filter 2 - 衰减率,DRV's Parameter  P2-44,UINT,16,rw,RT,| -dB |,| 0 ~ 40 |,| 0 |,| All |,P2,—,| 第二组共振抑制Notch filter衰减率。若将衰减率的值设为5，则为-5 dB。设为0时，关闭Notch filter 2功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-45,0x222D,共振抑制Notch filter 3 - 频率,DRV's Parameter  P2-45,UINT,16,rw,RT,| Hz |,| 50 ~ 5000 |,| 1000 |,| All |,P2,—,| 第三组机械共振频率设定值。若P2.046设为0，表示关闭Notch filter 3功能。P2.045、P2.046、P2.097为第三组共振抑制Notch filter。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-46,0x222E,共振抑制Notch filter 3 - 衰减率,DRV's Parameter  P2-46,UINT,16,rw,RT,| -dB |,| 0 ~ 40 |,| 0 |,| All |,P2,—,| 第三组共振抑制Notch filter衰减率。若将衰减率的值设为5，则为-5 dB。设为0时，关闭Notch filter 3功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-47,0x222F,自动共振抑制模式设定,DRV's Parameter  P2-47,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x01F2 |,| 0x0001 |,| All |,P2,—,| X | 自动抑振功能 | Z | 共振抑制参数固定 | Y | 共振抑制参数固定 | U | 保留 | X：自动抑振功能 | 0：关闭自动抑振；功能关闭后，现有的共振抑振参数值将固定。 | 1：自动抑振模式1；当伺服判断稳定* | 2 | ，伺服会将已知的共振抑制点储存至EEPROM | (参数断电保持区)，并关闭自动抑振功能(X = 0)。 | 若伺服尚未稳定， | 重上电，会导致已搜寻的共
P2-48,0x2230,自动共振检测准位,DRV's Parameter  P2-48,UINT,16,rw,RT,| - |,| 0 ~ 1000 |,| 100 |,| All |,P2,—,| P2.048设定值变大，共振敏感度变低；反之，P2.048设定值变小，共振敏感度会变高。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-49,0x2231,速度检测滤波及微振抑制,DRV's Parameter  P2-49,UINT,16,rw,RT,| 1 ms | 0.1 ms | - | - |,| 0.0 ~ 100.0 | 0 ~ 1000 | - | - |,,| All | 初值： | 1.0 | 10 | 资料大小： | 16-bit |,P2,—,| 设定速度估测滤波。调整此参数可改善速度跳动的大小，但数值过大会使速度环的相位裕度变小而造成系统不稳定。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-50,0x2232,位置误差清除设定,DRV's Parameter  P2-50,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0001 |,| 0x0000 |,| PT / PR |,P2,—,| 控制输入接点设定请参考表8.1。将控制输入接点(DI：0x04)设为CCLR时，此功能才有效。 | 当DI.CCLR为On时，驱动器的内部位置误差量会被清除为0。 | 当此参数设定值为0：DI.CCLR触发方式为正缘型。 | 当此参数设定值为1：DI.CCLR触发方式为准位型。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-51,0x2233,保留,DRV's Parameter  P2-51,UINT,16,ro,T,,,,,P2,—,
P2-52,0x2234,▲,DRV's Parameter  P2-52,UDINT,32,ro,T,| PUU |,| 0 ~ 1000000000 |,| 1000000000 |,| PR |,P2,—,| 由此参数设定分度坐标系的大小、分度命令位置及分度回授位置。若设定值太小，会导致分度坐标系错误。 | P2.052输入值范围：P2.052 > 1.05 x 电机最高转速(rpm) x  x | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-53,0x2235,位置积分补偿,DRV's Parameter  P2-53,UINT,16,rw,RT,| rad/s |,| 0 ~ 1023 |,| 0 |,| PT / PR |,P2,—,| 加大位置控制积分值能缩小位置稳态误差量，但若设定值过大，则易产生位置过冲(overshoot)及噪音。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-54,0x2236,▲,DRV's Parameter  P2-54,UINT,16,rw,RT,| rad/s |,| 0 ~ 8191 |,| 0 |,| PT |,P2,—,| 同动控制增益值加大时，可提升两颗电机的速度追随；但若设定值太大，容易产生震动及噪音。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-55,0x2237,▲,DRV's Parameter  P2-55,UINT,16,rw,RT,| rad/s |,| 0 ~ 1023 |,| 0 |,| PT |,P2,—,| 同动速度控制积分值加大时，可提升两颗电机的速度追随及缩小两颗电机之间的速度误差量； | 但若设定值太大，容易产生震动及噪音。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-56,0x2238,▲,DRV's Parameter  P2-56,UINT,16,rw,RT,| rad/s |,| 0 ~ 1023 |,| 0 |,| PT |,P2,—,| 同动位置控制积分值加大时，可提升两颗电机的位置追随及缩小两颗电机之间的位置误差量； | 但若设定值太大，容易产生震动及噪音。建议用户将此参数值设为与P2.006一样的数值。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-57,0x2239,▲,DRV's Parameter  P2-57,UINT,16,rw,RT,| Hz |,| 0 ~ 1023 |,| 0 |,| PT |,P2,—,| 若不知如何设定P2.054 ~ P2.056的参数值，可通过此项数值设计同动控制的带宽，其数值会对应到P2.054 ~ P2.056。 | 1.	当同动控制带宽越大于伺服带宽，同动的追随性越好。 | 2.	当伺服带宽越大于同动控制带宽，单轴各别的追随性越好。 | 但伺服带宽加上同动控制带宽(P2.057)大于系统容许带宽，也就是机构所仍承受的带宽时，就会引发系统的共振。 | 注：当加大速度环带
P2-58,0x223A,同动速度误差低通滤波,DRV's Parameter  P2-58,UINT,16,rw,RT,| 0.1 ms |,| 0 ~ 1000 |,| 0 |,| PT |,P2,—,| 当同动控制因受低分辨率的影响，而产生噪音时(较不尖锐且粗糙的声音)，可以设定低通滤波 | 抑制。此滤波必须远快于同动控制的带宽设计。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-59,0x223B,保留,DRV's Parameter  P2-59,UINT,16,ro,T,,,,,P2,—,
P2-60,0x223C,电子齿轮比分子 N2,DRV's Parameter  P2-60,UDINT,32,rw,RT,| pulse |,| 1 ~ (2 | 29 | -1) |,| 16777216 |,| PT |,P2,—,| 电子齿轮比分子可藉由DI.GNUM0及DI.GNUM1来选择切换(参考表8.1)。若这两个输入接脚皆没有被定义时，电子齿轮比分子内定为P1.044。请于停止状态下进行切换，以避免切换过程中机械产生振动。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-61,0x223D,电子齿轮比分子 N3,DRV's Parameter  P2-61,UDINT,32,rw,RT,| pulse |,| 1 ~ (2 | 29 | -1) |,| 16777216 |,| PT |,P2,—,| 请参考P2.060的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-62,0x223E,电子齿轮比分子 N4,DRV's Parameter  P2-62,UDINT,32,rw,RT,| pulse |,| 1 ~ (2 | 29 | -1) |,| 16777216 |,| PT |,P2,—,| 请参考P2.060的说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-63,0x223F,保留,DRV's Parameter  P2-63,UINT,16,ro,T,,,,,P2,—,
P2-64,0x2240,DRV's Parameter  P2-64,DRV's Parameter  P2-64,UINT,16,rw,RT,—,—,,—,P2,—,
P2-65,0x2241,特殊位缓存器1,DRV's Parameter  P2-65,UINT,16,rw,RT,| - |,| 0x0000 ~ 0xFFFF |,| 0x0300 |,| All |,P2,—,| 位 | 功能 | 说明 | Bit 0 ~ Bit 3 | 保留 | - | Bit 4 | 摩擦力自动估测 | 开启本功能后，需通过点对点不停歇运动，自动将估测的数值写入P1.062与P1.063。 | 0：关闭 | 1：开启 | Bit 5 | Servo Off时，低电压(AL003)与主回路电源异常(AL022)开关 | 0：Servo Off时，关闭低电压(AL003)与主回路电源异
P2-66,0x2242,特殊位缓存器2,DRV's Parameter  P2-66,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x187F |,| 0x0030 |,| All |,P2,—,| 位 | 功能 | 说明 | Bit 0、Bit 1 | 保留 | - | Bit 2 | 取消低电压错误(AL003)锁定 | 0：低电压错误(AL003)锁定，低电压错误不会自动清除。 | 1：取消低电压错误(AL003)锁定，低电压错误会自动清除。 | Bit 3 | 保留 | - | Bit 4 | 取消驱动器功能使用率警告(AL044)侦测 | 0：侦测开启。 | 1：侦测关闭。 | 
P2-67,0x2243,保留,DRV's Parameter  P2-67,UINT,16,rw,RT,,,,,P2,—,
P2-68,0x2244,追随误差补偿开关,DRV's Parameter  P2-68,UINT,16,rw,RT,| - |,| 0x00000000 ~ 0x00002101 |,| 0x00000000 |,| PR / CANopen / EtherCAT / DMCNET |,P2,—,| 高位 | 低位 | A | 保留 | X | 追随误差补偿开关 | B | 保留 | Y | 保留 | C | 保留 | Z | DI.STP触发方式 | D | 保留 | U | CANopen / EtherCAT PV模式单位选择 | X：追随误差补偿开关 (需在P1.036 > 1的条件下作用) | 0：关闭补偿追随误差 | 1：开启补偿追随误差 | Z：DI.STP触发方式 | 0：
P2-69,0x2245,●,DRV's Parameter  P2-69,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x1211 |,| 0x0000 |,| All |,P2,—,| X | 操作模式设定 | Z | 分度坐标不溢位功能设定 | Y | 绝对位置遗失时脉冲命令设定 | U | 单圈绝对型功能 | X：操作模式设定 | 0：增量型操作，可将绝对型电机视为增量型电机操作 | 1：绝对型操作 (只适用于绝对型电机，若使用增量型电机，会跳出AL069) | Y：绝对位置遗失时脉冲命令设定 | 0：发生AL060或AL06A时，不可接受脉冲命令 | 1：发生AL060
P2-70,0x2246,讯息读取选择,DRV's Parameter  P2-70,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0007 |,| 0x0000 |,| All |,P2,—,| 位 | 功能 | 说明 | Bit 0 | DI/DO读取单位设定 | 0：单位为PUU。 | 1：单位为脉冲。 | Bit 1 | 通讯读取单位设定 | 0：单位为PUU。 | 1：单位为脉冲。 | Bit 2 | 溢位警告设定 | 0：溢位警告AL289 (PUU)、AL062 (脉冲)。 | 1：溢位不警告。 | Bit 3 ~ Bit 15 | 保留 | - | > | [参数列表] 
P2-71,0x2247,■,DRV's Parameter  P2-71,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0001 |,| 0x0000 |,| All |,P2,—,| 写入参数设定为0x0001，会将目前的编码器的绝对位置归零。此清除功能需将参数P2.008设定为271且P2.069.X设为1才能启动。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-72,0x2248,保留,DRV's Parameter  P2-72,UINT,16,ro,T,,,,,P2,—,
P2-73,0x2249,[E-Cam] 凸轮相位对位操作条件设定,DRV's Parameter  P2-73,UDINT,32,ro,T,| - |,| 0x00000000 ~ 0x5F3F6F5F |,| 0x00000000 |,| PR |,P2,—,| 高位 | 低位 | BA | PR号码 | YX | 滤波作用范围 (0 ~ 95%) | DC | 遮没设定 (0 ~ 95%) | UZ | 允许最大修正率 (0 ~100%) | YX：滤波作用范围 (0 ~ 95%) | 当DI.ALGN信号被触发，对位功能作用并侦测凸轮当时位置，若侦测到的位置与前次位置的误差率小于本参数设定的范围(%)，才会做滤波，否则直接以新位置做对位。 | YX
P2-74,0x224A,[E-Cam] 凸轮相位对位DI延迟时间设定,DRV's Parameter  P2-74,UINT,16,ro,T,| ms (最小刻度为μs) |,| -25.000 ~ +25.000 (含3位小数点) |,| 0.000 |,| PR |,P2,—,| 本参数可将对位目标偏移，以克服DI与传感器延迟的问题，其设定方式为： | P2.074 = P2.009 (DI响应滤波时间) + 传感器延迟时间 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-75,0x224B,■,DRV's Parameter  P2-75,UDINT,32,ro,T,| 同主动轴脉冲单位 |,| 0 ~ (P5.084 / P5.083) - 1 |,| 0 |,| PR |,P2,—,| 设定凸轮对位时的对位目标位置，单位为主动轴脉冲单位。 | 注：当输入值未超过范围，但因修改P5.084或P5.083导致此值超出范围，将自动清除其值为0。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-76,0x224C,■,DRV's Parameter  P2-76,UINT,16,ro,T,| - |,| 0x0000 ~ 0x6FF7 |,| 0x0000 |,| PR |,P2,—,| X | 凸轮对位控制 | UZ | 对位正向允许率 | Y | 滤波强度(0 ~ F) | - | - | X：凸轮对位控制 | 位 | 功能 | 说明 | 0 | 对位开启 | 若此位设为0，表示关闭对位功能。 | 若此位设为1，表示开启对位功能，触发DI.ALGN便会进行凸轮 | 对位修正。 | 1 | 立即触发PR | 凸轮对位修正量会被储存在P2.073.BA指定的PR数据中。若此位设
P2-77,0x224D,■,DRV's Parameter  P2-77,UINT,16,ro,T,| - |,| 0x0000 ~ 0xFF7D |,| 0x0000 |,| PR |,P2,—,| X | 主轴脉冲遮没 / 主轴脉冲输入方式 | UZ | 主动轴连续正反转或寸动正反转的脉冲数据 | Y | 遮没脉冲/虚拟脉冲修正初始前置量设定 | - | - | X：主轴脉冲遮没 / 主轴脉冲输入方式 | X | 功能 | 真实主轴 | 脉冲 | 虚拟主轴 | 脉冲 | 说明 | 0 | 功能关闭 | 接收 | 关闭 | 从动轴依据真实主动轴脉冲运转 | 1 | 遮没主轴脉冲 | 遮没 
P2-78,0x224E,[E-Cam] DO.CAM_AREA2上缘相位设定,DRV's Parameter  P2-78,UINT,16,ro,T,| 度 |,| 0 ~ 360 |,| 270 |,| PR |,P2,—,| DO.CAM_AREA2 (DO：0x1A)与参数关系如下；当凸轮不在啮合状态时，此信号一律输出Off。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-79,0x224F,[E-Cam] DO.CAM_AREA2下缘相位设定,DRV's Parameter  P2-79,UINT,16,ro,T,| 度 |,| 0 ~ 360 |,| 360 |,| PR |,P2,—,| DO.CAM_AREA2与参数关系请详见P2.078。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-80,0x2250,原点复归Z相来源,DRV's Parameter  P2-80,UINT,16,ro,T,| - |,| 0x0000 ~ 0x0011 |,| 0x0000 |,| PR* (全闭环) |,P2,—,| 辅助编码器连接CN5形成全闭环控制，用户执行原点复归找寻Z相位置时，通过参数设定可以选择电机的Z相位置或辅助编码器的Z相位置作为复归原点(选择辅助编码器可以达到更高的定位精度)。开启全闭环功能(P1.074.X = 1)后，请重新开启并设定Capture功能。 | X | 全闭环原点复归Z相来源 | Z | 保留 | Y | 半闭环原点复归Z相来源 | U | 保留 | X：全闭环原点复归Z相
P2-81,0x2251,侦测漏脉冲功能之开关,DRV's Parameter  P2-81,UINT,16,ro,T,| - |,| 0 ~ 1 |,| 1 |,| All |,P2,—,| 侦测漏脉冲功能之开关。此设定为0表示关闭；设定为1表示开启。 | 此参数仅适用于脉冲型电机且PM.003.U = 1时(CN5为主编码器)。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-82,0x2252,漏脉冲警告之准位,DRV's Parameter  P2-82,UINT,16,ro,T,| pulse |,| 0 ~ 32767 |,| 400 |,| All |,P2,—,| 当P2.081 = 1，且漏脉冲的数量超过此设定值时，即显示异警AL057。 | 此参数仅适用于脉冲型电机且PM.003.U = 1 时(CN5为主编码器)。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-83,0x2253,跨Z检查准位,DRV's Parameter  P2-83,UDINT,32,ro,T,| pulse |,| 0 ~ 2 | 31 | -1 |,| 2000 |,| All |,P2,—,| 可判定电机移动过程是否遇到新的Z信号，建议设定为两个Z信号距离的一半脉冲量。 | 此参数仅适用于脉冲型直线电机且PM.003.U = 1 时(CN5为主编码器)，若只有一个Z信号，可忽略此参数。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-84,0x2254,低解析电机之特殊功能,DRV's Parameter  P2-84,UINT,16,ro,T,| - |,| 0x0000 ~ 0x311F |,| 0x0000 |,| All |,P2,—,| 位 | 功能 | 说明 | Bit 0 ~ Bit 7 | 保留 | - | Bit 8 | 速度平顺化功能 | 在电机分辨率低的情况下，开启此功能后可以改善速度不平顺的问题。本功能仅适用于脉冲型电机且PM.003.U = 1时 (CN5为主编码器)。 | 0：关闭 | 1：开启 | Bit 9 ~ Bit 11 | 保留 | - | U | 速度估测器 | 在电机分辨率低的情况下，开启此功能
P2-85,0x2255,保留,DRV's Parameter  P2-85,UINT,16,ro,T,,,,,P2,—,
P2-86,0x2256,DRV's Parameter  P2-86,DRV's Parameter  P2-86,UINT,16,ro,T,—,—,,—,P2,—,
P2-87,0x2257,DRV's Parameter  P2-87,DRV's Parameter  P2-87,UINT,16,ro,T,—,—,,—,P2,—,
P2-88,0x2258,电机特殊位缓存器,DRV's Parameter  P2-88,UINT,16,ro,T,| - |,| 0x0000 ~ 0xFFFF |,| 0x0000 |,| PT / PR / S / Sz |,P2,—,| 位 | 功能 | 说明 | Bit 0 ~ Bit 2 | 保留 | - | Bit 3 | 增益切换积分器强度保持 | 0：速度环积分器强度不额外调整 | (积分器强度 = P2.004 x P2.005 x P2.006) | 1：开启增益切换功能(P2.027)时，可避免因速度环控制增益(P2.004)切换时，降低积分器强度 | (积分器强度 = P2.004 x P2.006) | B
P2-89,0x2259,命令响应增益,DRV's Parameter  P2-89,UINT,16,ro,T,| rad/s |,| 1 ~ 2000 |,| 25 |,| PT / PR |,P2,—,| 提高此增益会加快位置命令的响应，可缩短整定的时间。但当此增益过大时，会出现位置过冲，进而导致机构抖动。 | 注：若需调整此参数，请先将双自由度功能开启(P2.094 [Bit 12] = 1)。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P2-90,0x225A,双自由度模式 - 外部干扰抵抗增益,DRV's Parameter  P2-90,UINT,16,ro,T,| 0.001 |,| 500 ~ 1999 |,| 850 |,| PT / PR |,P2,—,| 可改善命令响应，微调命令整定时的过冲量，将此参数设为较小值可以减少命令过冲量现象。仅在双自由度功能开启(P2.094 [Bit 12] = 1)时有效，与P2.026功能相似。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
