参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P1-03,0x2103,检出器脉冲输出极性设定,DRV's Parameter  P1-03,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0013 |,| 0x0000 |,| All |,P1,—,| X | 监控模拟量输出极性 | Z | 保留 | Y | 检出器脉冲输出正反向选择 | U | 保留 | X：监控模拟量输出极性 | 0：MON1(+)，MON2(+) | 1：MON1(+)，MON2(-) | 2：MON1(-)，MON2(+) | 3：MON1(-)，MON2(-) | Y：检出器脉冲输出正反向选择 | 0：正向 | 1：反向 | > | [参数列表] | [2022/1
P1-04,0x2104,MON1模拟量监控输出比例,DRV's Parameter  P1-04,UINT,16,rw,RT,| % (full scale) |,| 0 ~ 100 |,| 100 |,| All |,P1,—,| 模拟量输出选项设定请参照参数P0.003，旋转电机(rpm)与直线电机(mm/s)的计算方式相同。 | 范例： | 若需求是希望1000 rpm (1000 mm/s)对应到8V，而该电机的最高速度是5000 rpm | (5000 mm/s)，P1.004的设定如下： | P1.004 = 100% = 100% = 20% | 可通过以下计算获得当前速度与相对应的电压输出： | 速度 | 
P1-05,0x2105,MON2模拟量监控输出比例,DRV's Parameter  P1-05,UINT,16,rw,RT,| % (full scale) |,| 0 ~ 100 |,| 100 |,| All |,P1,—,| 模拟量输出选项设定请参照参数P0.003。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-06,0x2106,速度指令 - 加减速平滑常数(低通平滑滤波),DRV's Parameter  P1-06,UINT,16,rw,RT,| ms |,| 0 ~ 1000 |,| 0 |,| S / Sz |,P1,—,| 0：关闭此功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-07,0x2107,扭矩指令 - 平滑常数(低通平滑滤波),DRV's Parameter  P1-07,UINT,16,rw,RT,| ms |,| 0 ~ 1000 |,| 0 |,| T / Tz |,P1,—,| 0：关闭此功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-08,0x2108,位置指令 - 平滑常数(低通平滑滤波),DRV's Parameter  P1-08,UINT,16,rw,RT,| 10 ms |,| 0 ~ 1000 |,| 0 |,| PT / PR |,P1,—,| 0：关闭此功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-09,0x2109,内部速度指令1 / 内部速度限制1,DRV's Parameter  P1-09,UDINT,32,rw,RT,| 0.1 rpm (旋转)* | 1 μm/s (直线)* |,| -75000 ~ +75000 (旋转)* | -15999999 ~ +15999999 (直线)* |,| 1000 |,| S / Sz：内部速度指令1 | T / Tz：内部速度限制1 |,P1,—,| 内部速度指令1：第1段内部速度指令设定。 | 内部速度限制1：第1段内部速度限制设定。 | 内部速度限制输入范例： | P1.009速度限制设定值 | 允许速度范围 | 正向运转速度限制 | 逆向运转速度限制 | 1000 | -100 ~ +100 rpm (旋转)* | -1000 ~ +1000 μm/s (直线)* | 100 rpm (旋转)* | 1000 μm/s (直线)* |
P1-10,0x210A,内部速度指令2 / 内部速度限制2,DRV's Parameter  P1-10,UDINT,32,rw,RT,| 0.1 rpm (旋转)* | 1 μm/s (直线)* |,| -75000 ~ +75000 (旋转)* | -15999999 ~ +15999999 (直线)* |,| 2000 |,| S / Sz：内部速度指令2 | T / Tz：内部速度限制2 |,P1,—,| 内部速度指令2：第2段内部速度指令设定。 | 内部速度限制2：第2段内部速度限制设定。 | 内部速度限制输入范例： | P1.010速度限制设定值 | 允许速度范围 | 正向运转速度限制 | 逆向运转速度限制 | 1000 | -100 ~ +100 rpm (旋转)* | -1000 ~ +1000 μm/s (直线)* | 100 rpm (旋转)* | 1000 μm/s (直线)* |
P1-11,0x210B,内部速度指令3 / 内部速度限制3,DRV's Parameter  P1-11,UDINT,32,rw,RT,| 0.1 rpm (旋转)* | 1 μm/s (直线)* |,| -75000 ~ +75000 (旋转)* | -15999999 ~ +15999999 (直线)* |,| 3000 |,| S / Sz：内部速度指令3 | T / Tz：内部速度限制3 |,P1,—,| 内部速度指令3：第3段内部速度指令设定。 | 内部速度限制3：第3段内部速度限制设定。 | 内部速度限制输入范例： | P1.011速度限制设定值 | 允许速度范围 | 正向运转速度限制 | 逆向运转速度限制 | 1000 | -100 ~ +100 rpm (旋转)* | -1000 ~ +1000 μm/s (直线)* | 100 rpm (旋转)* | 1000 μm/s (直线)* |
P1-12,0x210C,内部扭矩指令1 / 内部扭矩限制1,DRV's Parameter  P1-12,UINT,16,rw,RT,| % |,| -5000 ~ +5000 |,| 100 |,| T / Tz：内部扭矩指令1 | PT / PR / S / Sz：内部扭矩限制1 |,P1,—,| 内部扭矩指令1：第1段内部扭矩指令设定。 | 内部扭矩限制1：第1段内部扭矩限制设定。 | 当P2.112 [Bit 14] = 0 (扭矩单位为1%) | 内部扭矩指令：35 = 35% | 内部扭矩限制：正负值结果相同，请见以下说明。 | 内部扭矩限制输入范例： | P1.012扭矩限制设定值 | 允许扭矩范围 | 正向运转扭矩限制 | 逆向运转扭矩限制 | 35 | -35% ~ +35
P1-13,0x210D,内部扭矩指令2 / 内部扭矩限制2,DRV's Parameter  P1-13,UINT,16,rw,RT,| % |,| -5000 ~ +5000 |,| 100 |,| T / Tz：内部扭矩指令2 | PT / PR / S / Sz：内部扭矩限制2 |,P1,—,| 内部扭矩指令2：第2段内部扭矩指令设定。 | 内部扭矩限制2：第2段内部扭矩限制设定。 | 当P2.112 [Bit 14] = 0 (扭矩单位为1%) | 内部扭矩指令：35 = 35% | 内部扭矩限制：正负值结果相同，请见以下说明。 | 内部扭矩限制输入范例： | P1.013扭矩限制设定值 | 允许扭矩范围 | 正向运转扭矩限制 | 逆向运转扭矩限制 | 35 | -35% ~ +35
